Team,Odds,,W-L O/U,Result
Los Angeles Lakers,180,,61.5,56-26 (under)
Portland Trail Blazers,600,,56.5,50-32 (under)
San Antonio Spurs,600,,54.5,58-24 (over)
New York Knicks,700,,46.5,48-34 (over)
Orlando Magic,800,,52.5,43-39 (under)
Indiana Pacers,1000,,46.5,41-41 (under)
Utah Jazz,1500,,47.5,53-29 (over)
Phoenix Suns,1500,,52.5,51-31 (under)
Minnesota Timberwolves,1500,,48.5,47-35 (under)
Miami Heat,1800,,44.5,50-32 (over)
Philadelphia 76ers,1800,,48.5,56-26 (over)
Charlotte Hornets,1800,,44.5,46-36 (over)
Milwaukee Bucks,2200,,46.5,52-30 (over)
Sacramento Kings,3500,,43.5,55-27 (over)
Seattle SuperSonics,3500,,45.5,44-38 (under)
Toronto Raptors,3500,,43.5,47-35 (over)
Detroit Pistons,6000,,34.5,32-50 (under)
Houston Rockets,7500,,38.5,45-37 (over)
Dallas Mavericks,7500,,42.5,53-29 (over)
New Jersey Nets,7500,,37.5,26-56 (under)
Chicago Bulls,7500,,28.5,15-67 (under)
Boston Celtics,10000,,34.5,36-46 (over)
Denver Nuggets,10000,,34.5,40-42 (over)
Cleveland Cavaliers,10000,,34.5,30-52 (under)
Atlanta Hawks,15000,,28.5,25-57 (under)
Washington Wizards,20000,,29.5,19-63 (under)
Los Angeles Clippers,35000,,19.5,31-51 (over)
Golden State Warriors,35000,,24.5,17-65 (under)
Vancouver Grizzlies,35000,,24.5,23-59 (under)
