Team,Odds,,W-L O/U,Result
San Antonio Spurs,400,,56.5,59-23 (over)
Sacramento Kings,500,,52.5,50-32 (under)
Minnesota Timberwolves,500,,55.5,44-38 (under)
Los Angeles Lakers,500,,45.5,34-48 (under)
Memphis Grizzlies,900,,47.5,45-37 (under)
Detroit Pistons,900,,56.5,54-28 (under)
Indiana Pacers,1200,,51.5,44-38 (under)
Dallas Mavericks,1600,,50.5,58-24 (over)
Houston Rockets,1800,,50.5,51-31 (over)
New Jersey Nets,1800,,37.5,42-40 (over)
Miami Heat,2200,,52.5,59-23 (over)
Denver Nuggets,2500,,49.5,49-33 (under)
New Orleans Hornets,3500,,30.5,18-64 (under)
Philadelphia 76ers,3500,,38.5,43-39 (over)
Milwaukee Bucks,4000,,38.5,30-52 (under)
Cleveland Cavaliers,4000,,43.5,42-40 (under)
Boston Celtics,5000,,40.5,45-37 (over)
Utah Jazz,5000,,45.5,26-56 (under)
Golden State Warriors,5000,,35.5,34-48 (under)
Portland Trail Blazers,5500,,40.5,27-55 (under)
Toronto Raptors,5500,,34.5,33-49 (under)
Seattle SuperSonics,7000,,34.5,52-30 (over)
Orlando Magic,7500,,34.5,36-46 (over)
New York Knicks,10000,,41.5,33-49 (under)
Phoenix Suns,10000,,44.5,62-20 (over)
Washington Wizards,12500,,33.5,45-37 (over)
Los Angeles Clippers,17500,,32.5,37-45 (over)
Chicago Bulls,17500,,32.5,47-35 (over)
Atlanta Hawks,17500,,27.5,13-69 (under)
Charlotte Bobcats,40000,,16.5,18-64 (over)
