Name,2013 WS,2012 WS,2013 MP,2012 MP,2013 G,2012 G,2013 USG,2012 USG,2013 WS/48,2012 WS/48
Kobe Bryant,10.9,9.4,3013,2232,78,58,31.9,35.7,0.174,0.132
Dwight Howard,7.6,7.7,2722,2070,76,54,22.2,26.1,0.134,0.179
Metta World Peace,4.6,2.6,2530,1720,75,64,17.5,15.6,0.086,0.073
Jodie Meeks,3,4.1,1663,1644,78,66,16.7,15.2,0.085,0.12
Pau Gasol,3.7,8.3,1655,2430,49,65,20.5,22.1,0.107,0.165
Antawn Jamison,4.3,3.1,1636,2151,76,65,18.7,26.2,0.126,0.07
Steve Nash,4.3,5.9,1627,1961,50,62,17.8,27.1,0.127,0.144
Earl Clark,2.3,0.3,1363,559,59,45,15.7,14.8,0.08,0.027
Steve Blake,2.4,1,1175,1237,45,53,13.2,13,0.097,0.04
Chris Duhon,1,1.3,820,1226,46,63,9.2,27.6,0.056,0.051
Darius Morris,0.2,-0.2,683,169,48,19,16.2,17.6,0.016,-0.045
Jordan Hill,1.4,1.4,458,551,29,39,20.2,17.9,0.147,0.118
